Codice Ripartizione geografica;Codice Regione;Codice Provincia/Uts;Codice Comune (alfanumerico);Codice Comune (numerico);Comune;Comune (dizione straniera);Sigla automobilistica;Capoluogo di Provincia/Uts;Capoluogo di Regione;Popolazione legale;Anno Censimento;Superficie (Kmq);Anno (Superficie);Popolazione residente;Anno (Popolazione residente)
1;1;1;1001;1001;Agliè;;TO;0;0;2574.0;2001;13,1462;2009;2622;2009
1;1;1;1002;1002;Airasca;;TO;0;0;3554.0;2001;15,7393;2009;3786;2009
1;1;1;1003;1003;Ala di Stura;;TO;0;0;479.0;2001;46,3315;2009;457;2009
1;1;1;1004;1004;Albiano d'Ivrea;;TO;0;0;1696.0;2001;11,7314;2009;1734;2009
1;1;1;1005;1005;Alice Superiore;;TO;0;0;616.0;2001;7,3796;2009;711;2009
1;1;1;1006;1006;Almese;;TO;0;0;5658.0;2001;17,8756;2009;6314;2009
1;1;1;1007;1007;Alpette;;TO;0;0;300.0;2001;5,6261;2009;267;2009
1;1;1;1008;1008;Alpignano;;TO;0;0;16648.0;2001;11,9193;2009;17054;2009
1;1;1;1009;1009;Andezeno;;TO;0;0;1705.0;2001;7,4860;2009;2002;2009
1;1;1;1010;1010;Andrate;;TO;0;0;476.0;2001;9,3085;2009;519;2009
1;1;1;1011;1011;Angrogna;;TO;0;0;777.0;2001;38,8782;2009;888;2009
1;1;1;1012;1012;Arignano;;TO;0;0;898.0;2001;8,1668;2009;1028;2009
1;1;1;1013;1013;Avigliana;;TO;0;0;11070.0;2001;23,2172;2009;12105;2009
1;1;1;1014;1014;Azeglio;;TO;0;0;1274.0;2001;9,9605;2009;1364;2009
1;1;1;1015;1015;Bairo;;TO;0;0;788.0;2001;7,0859;2009;823;2009
1;1;1;1016;1016;Balangero;;TO;0;0;3048.0;2001;13,0063;2009;3148;2009
1;1;1;1017;1017;Baldissero Canavese;;TO;0;0;513.0;2001;4,5064;2009;518;2009
1;1;1;1018;1018;Baldissero Torinese;;TO;0;0;3244.0;2001;15,4054;2009;3737;2009
1;1;1;1019;1019;Balme;;TO;0;0;101.0;2001;62,7105;2009;101;2009
1;1;1;1020;1020;Banchette;;TO;0;0;3427.0;2001;2,0289;2009;3344;2009
1;1;1;1021;1021;Barbania;;TO;0;0;1479.0;2001;12,8027;2009;1588;2009
1;1;1;1022;1022;Bardonecchia;;TO;0;0;3038.0;2001;132,2029;2009;3189;2009
1;1;1;1023;1023;Barone Canavese;;TO;0;0;588.0;2001;3,9864;2009;608;2009
1;1;1;1024;1024;Beinasco;;TO;0;0;18198.0;2001;6,7343;2009;18146;2009
1;1;1;1025;1025;Bibiana;;TO;0;0;2856.0;2001;18,5979;2009;3382;2009
1;1;1;1026;1026;Bobbio Pellice;;TO;0;0;598.0;2001;94,0819;2009;583;2009
1;1;1;1027;1027;Bollengo;;TO;0;0;1997.0;2001;14,2234;2009;2076;2009
1;1;1;1028;1028;Borgaro Torinese;;TO;0;0;12757.0;2001;14,3261;2009;13548;2009
1;1;1;1029;1029;Borgiallo;;TO;0;0;496.0;2001;6,9648;2009;549;2009
1;1;1;1030;1030;Borgofranco d'Ivrea;;TO;0;0;3631.0;2001;13,4189;2009;3716;2009
1;1;1;1031;1031;Borgomasino;;TO;0;0;784.0;2001;12,3712;2009;838;2009
1;1;1;1032;1032;Borgone Susa;;TO;0;0;2227.0;2001;4,9617;2009;2369;2009
1;1;1;1033;1033;Bosconero;;TO;0;0;2927.0;2001;10,9191;2009;3103;2009
1;1;1;1034;1034;Brandizzo;;TO;0;0;7430.0;2001;6,2914;2009;8154;2009
1;1;1;1035;1035;Bricherasio;;TO;0;0;4020.0;2001;22,7585;2009;4357;2009
1;1;1;1036;1036;Brosso;;TO;0;0;474.0;2001;11,1350;2009;482;2009
1;1;1;1037;1037;Brozolo;;TO;0;0;435.0;2001;8,9504;2009;482;2009
1;1;1;1038;1038;Bruino;;TO;0;0;7308.0;2001;5,5701;2009;8483;2009
1;1;1;1039;1039;Brusasco;;TO;0;0;1664.0;2001;14,3592;2009;1730;2009
1;1;1;1040;1040;Bruzolo;;TO;0;0;1337.0;2001;12,5838;2009;1527;2009
1;1;1;1041;1041;Buriasco;;TO;0;0;1304.0;2001;14,6868;2009;1409;2009
1;1;1;1042;1042;Burolo;;TO;0;0;1349.0;2001;5,4760;2009;1276;2009
1;1;1;1043;1043;Busano;;TO;0;0;1367.0;2001;5,0643;2009;1537;2009
1;1;1;1044;1044;Bussoleno;;TO;0;0;6457.0;2001;37,1004;2009;6513;2009
1;1;1;1045;1045;Buttigliera Alta;;TO;0;0;6541.0;2001;8,0973;2009;6486;2009
1;1;1;1046;1046;Cafasse;;TO;0;0;3516.0;2001;10,2312;2009;3559;2009
1;1;1;1047;1047;Caluso;;TO;0;0;7132.0;2001;39,4925;2009;7490;2009
1;1;1;1048;1048;Cambiano;;TO;0;0;5799.0;2001;14,1314;2009;6310;2009
1;1;1;1049;1049;Campiglione Fenile;;TO;0;0;1284.0;2001;11,0864;2009;1397;2009
1;1;1;1050;1050;Candia Canavese;;TO;0;0;1302.0;2001;9,1317;2009;1293;2009
1;1;1;1051;1051;Candiolo;;TO;0;0;5113.0;2001;11,8499;2009;5618;2009
1;1;1;1052;1052;Canischio;;TO;0;0;274.0;2001;11,9505;2009;322;2009
1;1;1;1053;1053;Cantalupa;;TO;0;0;2073.0;2001;11,1953;2009;2536;2009
1;1;1;1054;1054;Cantoira;;TO;0;0;544.0;2001;23,0319;2009;557;2009
1;1;1;1055;1055;Caprie;;TO;0;0;1883.0;2001;16,4066;2009;2125;2009
1;1;1;1056;1056;Caravino;;TO;0;0;1008.0;2001;11,5371;2009;1018;2009
1;1;1;1057;1057;Carema;;TO;0;0;770.0;2001;10,2578;2009;768;2009
1;1;1;1058;1058;Carignano;;TO;0;0;8647.0;2001;50,6894;2009;9169;2009
1;1;1;1059;1059;Carmagnola;;TO;0;0;24911.0;2001;95,7149;2009;28103;2009
1;1;1;1060;1060;Casalborgone;;TO;0;0;1704.0;2001;20,1250;2009;1829;2009
1;1;1;1061;1061;Cascinette d'Ivrea;;TO;0;0;1449.0;2001;2,1726;2009;1473;2009
1;1;1;1062;1062;Caselette;;TO;0;0;2643.0;2001;14,3137;2009;2850;2009
1;1;1;1063;1063;Caselle Torinese;;TO;0;0;15857.0;2001;28,7115;2009;17865;2009
1;1;1;1064;1064;Castagneto Po;;TO;0;0;1425.0;2001;11,4732;2009;1760;2009
1;1;1;1065;1065;Castagnole Piemonte;;TO;0;0;1875.0;2001;17,2796;2009;2177;2009
1;1;1;1066;1066;Castellamonte;;TO;0;0;8979.0;2001;38,7063;2009;9972;2009
1;1;1;1067;1067;Castelnuovo Nigra;;TO;0;0;440.0;2001;28,3756;2009;432;2009
1;1;1;1068;1068;Castiglione Torinese;;TO;0;0;5480.0;2001;14,1346;2009;6295;2009
1;1;1;1069;1069;Cavagnolo;;TO;0;0;2281.0;2001;12,3285;2009;2382;2009
1;1;1;1070;1070;Cavour;;TO;0;0;5283.0;2001;48,9591;2009;5567;2009
1;1;1;1071;1071;Cercenasco;;TO;0;0;1774.0;2001;13,1595;2009;1848;2009
1;1;1;1072;1072;Ceres;;TO;0;0;1030.0;2001;28,0516;2009;1085;2009
1;1;1;1073;1073;Ceresole Reale;;TO;0;0;160.0;2001;99,8139;2009;172;2009
1;1;1;1074;1074;Cesana Torinese;;TO;0;0;956.0;2001;121,7001;2009;950;2009
1;1;1;1075;1075;Chialamberto;;TO;0;0;362.0;2001;35,4478;2009;347;2009
1;1;1;1076;1076;Chianocco;;TO;0;0;1690.0;2001;18,5698;2009;1670;2009
1;1;1;1077;1077;Chiaverano;;TO;0;0;2198.0;2001;12,0221;2009;2175;2009
1;1;1;1078;1078;Chieri;;TO;0;0;32868.0;2001;54,1975;2009;35791;2009
1;1;1;1079;1079;Chiesanuova;;TO;0;0;199.0;2001;4,1189;2009;226;2009
1;1;1;1080;1080;Chiomonte;;TO;0;0;1011.0;2001;26,7549;2009;972;2009
1;1;1;1081;1081;Chiusa di San Michele;;TO;0;0;1602.0;2001;5,9165;2009;1689;2009
1;1;1;1082;1082;Chivasso;;TO;0;0;23648.0;2001;51,2378;2009;25697;2009
1;1;1;1083;1083;Ciconio;;TO;0;0;345.0;2001;3,1638;2009;365;2009
1;1;1;1084;1084;Cintano;;TO;0;0;244.0;2001;4,9345;2009;191;2009
1;1;1;1085;1085;Cinzano;;TO;0;0;331.0;2001;6,1962;2009;385;2009
1;1;1;1086;1086;Ciriè;;TO;0;0;18188.0;2001;17,7329;2009;18691;2009
1;1;1;1087;1087;Claviere;;TO;0;0;163.0;2001;2,6872;2009;197;2009
1;1;1;1088;1088;Coassolo Torinese;;TO;0;0;1470.0;2001;27,8788;2009;1563;2009
1;1;1;1089;1089;Coazze;;TO;0;0;2889.0;2001;56,5727;2009;3255;2009
1;1;1;1090;1090;Collegno;;TO;0;0;46641.0;2001;18,0993;2009;49734;2009
1;1;1;1091;1091;Colleretto Castelnuovo;;TO;0;0;316.0;2001;6,3321;2009;348;2009
1;1;1;1092;1092;Colleretto Giacosa;;TO;0;0;627.0;2001;4,5894;2009;618;2009
1;1;1;1093;1093;Condove;;TO;0;0;4380.0;2001;71,1131;2009;4673;2009
1;1;1;1094;1094;Corio;;TO;0;0;3163.0;2001;41,4914;2009;3354;2009
1;1;1;1095;1095;Cossano Canavese;;TO;0;0;550.0;2001;3,2384;2009;547;2009
1;1;1;1096;1096;Cuceglio;;TO;0;0;925.0;2001;6,8709;2009;988;2009
1;1;1;1097;1097;Cumiana;;TO;0;0;6846.0;2001;60,7335;2009;7837;2009
1;1;1;1098;1098;Cuorgnè;;TO;0;0;10032.0;2001;19,3133;2009;10121;2009
1;1;1;1099;1099;Druento;;TO;0;0;8235.0;2001;27,5395;2009;8435;2009
1;1;1;1100;1100;Exilles;;TO;0;0;284.0;2001;46,5474;2009;260;2009
1;1;1;1101;1101;Favria;;TO;0;0;4324.0;2001;14,8499;2009;5221;2009
1;1;1;1102;1102;Feletto;;TO;0;0;2344.0;2001;7,8929;2009;2348;2009
1;1;1;1103;1103;Fenestrelle;;TO;0;0;615.0;2001;49,4091;2009;568;2009
1;1;1;1104;1104;Fiano;;TO;0;0;2558.0;2001;12,0415;2009;2760;2009
1;1;1;1105;1105;Fiorano Canavese;;TO;0;0;868.0;2001;4,3457;2009;892;2009
1;1;1;1106;1106;Foglizzo;;TO;0;0;2183.0;2001;15,6427;2009;2319;2009
1;1;1;1107;1107;Forno Canavese;;TO;0;0;3716.0;2001;16,5075;2009;3669;2009
1;1;1;1108;1108;Frassinetto;;TO;0;0;287.0;2001;24,8185;2009;281;2009
1;1;1;1109;1109;Front;;TO;0;0;1628.0;2001;10,9482;2009;1740;2009
1;1;1;1110;1110;Frossasco;;TO;0;0;2707.0;2001;20,1488;2009;2867;2009
1;1;1;1111;1111;Garzigliana;;TO;0;0;544.0;2001;7,4018;2009;563;2009
1;1;1;1112;1112;Gassino Torinese;;TO;0;0;9015.0;2001;20,5108;2009;9461;2009
1;1;1;1113;1113;Germagnano;;TO;0;0;1294.0;2001;14,4442;2009;1299;2009
1;1;1;1114;1114;Giaglione;;TO;0;0;692.0;2001;33,3833;2009;657;2009
1;1;1;1115;1115;Giaveno;;TO;0;0;14554.0;2001;71,7376;2009;16438;2009
1;1;1;1116;1116;Givoletto;;TO;0;0;2188.0;2001;12,8200;2009;3306;2009
1;1;1;1117;1117;Gravere;;TO;0;0;682.0;2001;18,9870;2009;746;2009
1;1;1;1118;1118;Groscavallo;;TO;0;0;214.0;2001;92,0935;2009;191;2009
1;1;1;1119;1119;Grosso;;TO;0;0;988.0;2001;4,3296;2009;1048;2009
1;1;1;1120;1120;Grugliasco;;TO;0;0;38725.0;2001;13,1321;2009;37294;2009
1;1;1;1121;1121;Ingria;;TO;0;0;61.0;2001;14,7506;2009;51;2009
1;1;1;1122;1122;Inverso Pinasca;;TO;0;0;659.0;2001;8,0292;2009;738;2009
1;1;1;1123;1123;Isolabella;;TO;0;0;398.0;2001;4,7716;2009;399;2009
1;1;1;1124;1124;Issiglio;;TO;0;0;402.0;2001;5,5042;2009;422;2009
1;1;1;1125;1125;Ivrea;;TO;0;0;23536.0;2001;30,1075;2009;24042;2009
1;1;1;1126;1126;La Cassa;;TO;0;0;1326.0;2001;12,0353;2009;1788;2009
1;1;1;1127;1127;La Loggia;;TO;0;0;6485.0;2001;12,7825;2009;8125;2009
1;1;1;1128;1128;Lanzo Torinese;;TO;0;0;5141.0;2001;10,2876;2009;5271;2009
1;1;1;1129;1129;Lauriano;;TO;0;0;1398.0;2001;14,2900;2009;1553;2009
1;1;1;1130;1130;Leini;;TO;0;0;11946.0;2001;32,4355;2009;14958;2009
1;1;1;1131;1131;Lemie;;TO;0;0;218.0;2001;45,6753;2009;187;2009
1;1;1;1132;1132;Lessolo;;TO;0;0;1956.0;2001;7,9366;2009;2026;2009
1;1;1;1133;1133;Levone;;TO;0;0;491.0;2001;5,3912;2009;467;2009
1;1;1;1134;1134;Locana;;TO;0;0;1806.0;2001;132,5162;2009;1665;2009
1;1;1;1135;1135;Lombardore;;TO;0;0;1511.0;2001;12,7158;2009;1651;2009
1;1;1;1136;1136;Lombriasco;;TO;0;0;1004.0;2001;7,2096;2009;1072;2009
1;1;1;1137;1137;Loranzè;;TO;0;0;1003.0;2001;4,1914;2009;1098;2009
1;1;1;1138;1138;Lugnacco;;TO;0;0;338.0;2001;4,8835;2009;391;2009
1;1;1;1139;1139;Luserna San Giovanni;;TO;0;0;7866.0;2001;17,7414;2009;7746;2009
1;1;1;1140;1140;Lusernetta;;TO;0;0;496.0;2001;7,0398;2009;523;2009
1;1;1;1141;1141;Lusigliè;;TO;0;0;536.0;2001;5,2585;2009;561;2009
1;1;1;1142;1142;Macello;;TO;0;0;1153.0;2001;14,1404;2009;1254;2009
1;1;1;1143;1143;Maglione;;TO;0;0;488.0;2001;6,3129;2009;494;2009
1;1;1;1144;1144;Marentino;;TO;0;0;1190.0;2001;11,2593;2009;1450;2009
1;1;1;1145;1145;Massello;;TO;0;0;74.0;2001;38,2587;2009;59;2009
1;1;1;1146;1146;Mathi;;TO;0;0;3970.0;2001;7,0706;2009;3983;2009
1;1;1;1147;1147;Mattie;;TO;0;0;702.0;2001;28,6942;2009;741;2009
1;1;1;1148;1148;Mazzè;;TO;0;0;3973.0;2001;27,3424;2009;4195;2009
1;1;1;1149;1149;Meana di Susa;;TO;0;0;921.0;2001;16,5439;2009;913;2009
1;1;1;1150;1150;Mercenasco;;TO;0;0;1186.0;2001;12,6383;2009;1223;2009
1;1;1;1151;1151;Meugliano;;TO;0;0;109.0;2001;4,4420;2009;107;2009
1;1;1;1152;1152;Mezzenile;;TO;0;0;900.0;2001;29,0871;2009;854;2009
1;1;1;1153;1153;Mombello di Torino;;TO;0;0;395.0;2001;4,0825;2009;395;2009
1;1;1;1154;1154;Mompantero;;TO;0;0;668.0;2001;30,3332;2009;679;2009
1;1;1;1155;1155;Monastero di Lanzo;;TO;0;0;428.0;2001;17,6554;2009;392;2009
1;1;1;1156;1156;Moncalieri;;TO;0;0;53350.0;2001;47,5288;2009;56714;2009
1;1;1;1157;1157;Moncenisio;;TO;0;0;46.0;2001;4,5007;2009;41;2009
1;1;1;1158;1158;Montaldo Torinese;;TO;0;0;589.0;2001;4,6567;2009;640;2009
1;1;1;1159;1159;Montalenghe;;TO;0;0;890.0;2001;6,4681;2009;989;2009
1;1;1;1160;1160;Montalto Dora;;TO;0;0;3465.0;2001;7,3567;2009;3526;2009
1;1;1;1161;1161;Montanaro;;TO;0;0;5274.0;2001;20,9036;2009;5430;2009
1;1;1;1162;1162;Monteu da Po;;TO;0;0;828.0;2001;7,3896;2009;871;2009
1;1;1;1163;1163;Moriondo Torinese;;TO;0;0;763.0;2001;6,4895;2009;810;2009
1;1;1;1164;1164;Nichelino;;TO;0;0;47791.0;2001;20,5625;2009;48583;2009
1;1;1;1165;1165;Noasca;;TO;0;0;202.0;2001;78,0453;2009;183;2009
1;1;1;1166;1166;Nole;;TO;0;0;6242.0;2001;11,3531;2009;6859;2009
1;1;1;1167;1167;Nomaglio;;TO;0;0;333.0;2001;3,0743;2009;322;2009
1;1;1;1168;1168;;;TO;0;0;7761.0;2001;24,6422;2009;7859;2009
1;1;1;1169;1169;Novalesa;;TO;0;0;549.0;2001;28,5542;2009;578;2009
1;1;1;1170;1170;Oglianico;;TO;0;0;1291.0;2001;6,3030;2009;1444;2009
1;1;1;1171;1171;Orbassano;;TO;0;0;21581.0;2001;22,2079;2009;22095;2009
1;1;1;1172;1172;Orio Canavese;;TO;0;0;781.0;2001;7,1541;2009;839;2009
1;1;1;1173;1173;Osasco;;TO;0;0;944.0;2001;5,4885;2009;1133;2009
1;1;1;1174;1174;Osasio;;TO;0;0;738.0;2001;4,5770;2009;899;2009
1;1;1;1175;1175;Oulx;;TO;0;0;2657.0;2001;99,7857;2009;3176;2009
1;1;1;1176;1176;Ozegna;;TO;0;0;1172.0;2001;5,4058;2009;1228;2009
1;1;1;1177;1177;Palazzo Canavese;;TO;0;0;782.0;2001;5,0819;2009;852;2009
1;1;1;1178;1178;Pancalieri;;TO;0;0;1884.0;2001;15,8878;2009;1959;2009
1;1;1;1179;1179;Parella;;TO;0;0;473.0;2001;2,6886;2009;492;2009
1;1;1;1180;1180;Pavarolo;;TO;0;0;920.0;2001;4,4056;2009;1117;2009
1;1;1;1181;1181;Pavone Canavese;;TO;0;0;3776.0;2001;11,5400;2009;3846;2009
1;1;1;1182;1182;Pecco;;TO;0;0;224.0;2001;1,5680;2009;228;2009
1;1;1;1183;1183;Pecetto Torinese;;TO;0;0;3690.0;2001;9,1730;2009;3875;2009
1;1;1;1184;1184;Perosa Argentina;;TO;0;0;3731.0;2001;26,0906;2009;3416;2009
1;1;1;1185;1185;Perosa Canavese;;TO;0;0;559.0;2001;4,7080;2009;567;2009
1;1;1;1186;1186;Perrero;;TO;0;0;773.0;2001;63,1830;2009;743;2009
1;1;1;1187;1187;Pertusio;;TO;0;0;699.0;2001;4,0041;2009;787;2009
1;1;1;1188;1188;Pessinetto;;TO;0;0;607.0;2001;5,3498;2009;636;2009
1;1;1;1189;1189;Pianezza;;TO;0;0;11236.0;2001;16,4634;2009;13824;2009
1;1;1;1190;1190;Pinasca;;TO;0;0;2952.0;2001;34,7183;2009;3081;2009
1;1;1;1191;1191;Pinerolo;;TO;0;0;33494.0;2001;50,3376;2009;35366;2009
1;1;1;1192;1192;Pino Torinese;;TO;0;0;8234.0;2001;21,8196;2009;8518;2009
1;1;1;1193;1193;Piobesi Torinese;;TO;0;0;3232.0;2001;19,6488;2009;3641;2009
1;1;1;1194;1194;Piossasco;;TO;0;0;16138.0;2001;40,1459;2009;18125;2009
1;1;1;1195;1195;Piscina;;TO;0;0;3146.0;2001;9,9034;2009;3406;2009
1;1;1;1196;1196;Piverone;;TO;0;0;1262.0;2001;11,0343;2009;1355;2009
1;1;1;1197;1197;Poirino;;TO;0;0;8962.0;2001;75,6186;2009;10179;2009
1;1;1;1198;1198;Pomaretto;;TO;0;0;1084.0;2001;8,5611;2009;1111;2009
1;1;1;1199;1199;Pont Canavese;;TO;0;0;3778.0;2001;19,0609;2009;3759;2009
1;1;1;1200;1200;Porte;;TO;0;0;940.0;2001;4,4476;2009;1100;2009
1;1;1;1201;1201;Pragelato;;TO;0;0;448.0;2001;89,2017;2009;764;2009
1;1;1;1202;1202;Prali;;TO;0;0;312.0;2001;72,6092;2009;273;2009
1;1;1;1203;1203;Pralormo;;TO;0;0;1801.0;2001;29,8455;2009;1896;2009
1;1;1;1204;1204;Pramollo;;TO;0;0;258.0;2001;22,4785;2009;243;2009
1;1;1;1205;1205;Prarostino;;TO;0;0;1224.0;2001;10,5052;2009;1284;2009
1;1;1;1206;1206;Prascorsano;;TO;0;0;756.0;2001;6,2419;2009;797;2009
1;1;1;1207;1207;Pratiglione;;TO;0;0;601.0;2001;7,8803;2009;586;2009
1;1;1;1208;1208;Quagliuzzo;;TO;0;0;321.0;2001;2,0380;2009;336;2009
1;1;1;1209;1209;Quassolo;;TO;0;0;403.0;2001;3,9559;2009;368;2009
1;1;1;1210;1210;Quincinetto;;TO;0;0;1080.0;2001;17,7868;2009;1077;2009
1;1;1;1211;1211;Reano;;TO;0;0;1437.0;2001;6,6658;2009;1666;2009
1;1;1;1212;1212;Ribordone;;TO;0;0;84.0;2001;43,6002;2009;78;2009
1;1;1;1213;1213;Rivalba;;TO;0;0;966.0;2001;10,8334;2009;1128;2009
1;1;1;1214;1214;Rivalta di Torino;;TO;0;0;17565.0;2001;25,1075;2009;19064;2009
1;1;1;1215;1215;Riva presso Chieri;;TO;0;0;3833.0;2001;35,8318;2009;4075;2009
1;1;1;1216;1216;Rivara;;TO;0;0;2687.0;2001;12,5714;2009;2750;2009
1;1;1;1217;1217;Rivarolo Canavese;;TO;0;0;11976.0;2001;32,2461;2009;12337;2009
1;1;1;1218;1218;Rivarossa;;TO;0;0;1427.0;2001;10,8733;2009;1661;2009
1;1;1;1219;1219;Rivoli;;TO;0;0;49792.0;2001;29,4998;2009;49035;2009
1;1;1;1220;1220;Robassomero;;TO;0;0;3028.0;2001;8,5756;2009;3024;2009
1;1;1;1221;1221;Rocca Canavese;;TO;0;0;1635.0;2001;14,1912;2009;1780;2009
1;1;1;1222;1222;Roletto;;TO;0;0;1994.0;2001;9,7039;2009;2046;2009
1;1;1;1223;1223;Romano Canavese;;TO;0;0;2943.0;2001;11,2107;2009;2969;2009
1;1;1;1224;1224;Ronco Canavese;;TO;0;0;377.0;2001;96,2664;2009;319;2009
1;1;1;1225;1225;Rondissone;;TO;0;0;1655.0;2001;10,6877;2009;1830;2009
1;1;1;1226;1226;Rorà;;TO;0;0;259.0;2001;12,4075;2009;260;2009
1;1;1;1227;1227;Roure;;TO;0;0;966.0;2001;59,3732;2009;903;2009
1;1;1;1228;1228;Rosta;;TO;0;0;3626.0;2001;9,0650;2009;4539;2009
1;1;1;1229;1229;Rubiana;;TO;0;0;2048.0;2001;26,9371;2009;2442;2009
1;1;1;1230;1230;Rueglio;;TO;0;0;779.0;2001;15,1002;2009;776;2009
1;1;1;1231;1231;Salassa;;TO;0;0;1671.0;2001;4,9519;2009;1777;2009
1;1;1;1232;1232;Salbertrand;;TO;0;0;466.0;2001;38,3197;2009;557;2009
1;1;1;1233;1233;Salerano Canavese;;TO;0;0;532.0;2001;2,1034;2009;544;2009
1;1;1;1234;1234;Salza di Pinerolo;;TO;0;0;78.0;2001;15,8859;2009;82;2009
1;1;1;1235;1235;Samone;;TO;0;0;1473.0;2001;2,4329;2009;1654;2009
1;1;1;1236;1236;San Benigno Canavese;;TO;0;0;5154.0;2001;22,2318;2009;5565;2009
1;1;1;1237;1237;San Carlo Canavese;;TO;0;0;3548.0;2001;20,9070;2009;3907;2009
1;1;1;1238;1238;San Colombano Belmonte;;TO;0;0;361.0;2001;3,3809;2009;376;2009
1;1;1;1239;1239;San Didero;;TO;0;0;430.0;2001;3,3037;2009;566;2009
1;1;1;1240;1240;San Francesco al Campo;;TO;0;0;4351.0;2001;14,9796;2009;4770;2009
1;1;1;1241;1241;Sangano;;TO;0;0;3705.0;2001;6,6513;2009;3777;2009
1;1;1;1242;1242;San Germano Chisone;;TO;0;0;1842.0;2001;15,8617;2009;1826;2009
1;1;1;1243;1243;San Gillio;;TO;0;0;2606.0;2001;8,8866;2009;3027;2009
1;1;1;1244;1244;San Giorgio Canavese;;TO;0;0;2396.0;2001;20,4049;2009;2696;2009
1;1;1;1245;1245;San Giorio di Susa;;TO;0;0;949.0;2001;19,7219;2009;1070;2009
1;1;1;1246;1246;San Giusto Canavese;;TO;0;0;3080.0;2001;9,6132;2009;3381;2009
1;1;1;1247;1247;San Martino Canavese;;TO;0;0;772.0;2001;9,7933;2009;868;2009
1;1;1;1248;1248;San Maurizio Canavese;;TO;0;0;7259.0;2001;17,3442;2009;9389;2009
1;1;1;1249;1249;San Mauro Torinese;;TO;0;0;17817.0;2001;12,5517;2009;19214;2009
1;1;1;1250;1250;San Pietro Val Lemina;;TO;0;0;1477.0;2001;12,4446;2009;1461;2009
1;1;1;1251;1251;San Ponso;;TO;0;0;265.0;2001;2,1243;2009;274;2009
1;1;1;1252;1252;San Raffaele Cimena;;TO;0;0;2815.0;2001;11,1520;2009;3092;2009
1;1;1;1253;1253;San Sebastiano da Po;;TO;0;0;1791.0;2001;16,5766;2009;1917;2009
1;1;1;1254;1254;San Secondo di Pinerolo;;TO;0;0;3379.0;2001;12,5719;2009;3578;2009
1;1;1;1255;1255;Sant'Ambrogio di Torino;;TO;0;0;4275.0;2001;8,3682;2009;4836;2009
1;1;1;1256;1256;Sant'Antonino di Susa;;TO;0;0;4023.0;2001;9,7945;2009;4317;2009
1;1;1;1257;1257;Santena;;TO;0;0;10189.0;2001;16,1984;2009;10549;2009
1;1;1;1258;1258;Sauze di Cesana;;TO;0;0;186.0;2001;78,2772;2009;245;2009
1;1;1;1259;1259;Sauze d'Oulx;;TO;0;0;984.0;2001;17,3112;2009;1165;2009
1;1;1;1260;1260;Scalenghe;;TO;0;0;3072.0;2001;31,6768;2009;3345;2009
1;1;1;1261;1261;Scarmagno;;TO;0;0;740.0;2001;8,0308;2009;788;2009
1;1;1;1262;1262;Sciolze;;TO;0;0;1437.0;2001;11,3557;2009;1494;2009
1;1;1;1263;1263;Sestriere;;TO;0;0;838.0;2001;25,9158;2009;872;2009
1;1;1;1264;1264;Settimo Rottaro;;TO;0;0;517.0;2001;6,0578;2009;530;2009
1;1;1;1265;1265;Settimo Torinese;;TO;0;0;46982.0;2001;32,3659;2009;47228;2009
1;1;1;1266;1266;Settimo Vittone;;TO;0;0;1585.0;2001;23,2590;2009;1535;2009
1;1;1;1267;1267;Sparone;;TO;0;0;1174.0;2001;29,6785;2009;1146;2009
1;1;1;1268;1268;Strambinello;;TO;0;0;258.0;2001;2,2140;2009;269;2009
1;1;1;1269;1269;Strambino;;TO;0;0;6035.0;2001;22,4686;2009;6339;2009
1;1;1;1270;1270;Susa;;TO;0;0;6577.0;2001;10,9879;2009;6727;2009
1;1;1;1271;1271;Tavagnasco;;TO;0;0;820.0;2001;8,6751;2009;778;2009
1;1;1;1272;1272;Torino;;TO;1;1;865263.0;2001;130,0095;2009;890102;2009
1;1;1;1273;1273;Torrazza Piemonte;;TO;0;0;2373.0;2001;9,8238;2009;2675;2009
1;1;1;1274;1274;Torre Canavese;;TO;0;0;628.0;2001;5,4545;2009;585;2009
1;1;1;1275;1275;Torre Pellice;;TO;0;0;4570.0;2001;21,0981;2009;4604;2009
1;1;1;1276;1276;Trana;;TO;0;0;3343.0;2001;16,4059;2009;3832;2009
1;1;1;1277;1277;Trausella;;TO;0;0;139.0;2001;12,2448;2009;136;2009
1;1;1;1278;1278;Traversella;;TO;0;0;386.0;2001;39,3592;2009;350;2009
1;1;1;1279;1279;Traves;;TO;0;0;545.0;2001;10,4544;2009;565;2009
1;1;1;1280;1280;Trofarello;;TO;0;0;10352.0;2001;12,3475;2009;11038;2009
1;1;1;1281;1281;Usseaux;;TO;0;0;204.0;2001;37,9669;2009;185;2009
1;1;1;1282;1282;Usseglio;;TO;0;0;256.0;2001;98,5375;2009;225;2009
1;1;1;1283;1283;Vaie;;TO;0;0;1351.0;2001;7,2292;2009;1495;2009
1;1;1;1284;1284;Val della Torre;;TO;0;0;3529.0;2001;36,5252;2009;3811;2009
1;1;1;1285;1285;Valgioie;;TO;0;0;728.0;2001;9,1200;2009;935;2009
1;1;1;1286;1286;Vallo Torinese;;TO;0;0;734.0;2001;6,0792;2009;769;2009
1;1;1;1287;1287;Valperga;;TO;0;0;3144.0;2001;11,9094;2009;3228;2009
