Codice Ripartizione geografica;Codice Regione;Codice Provincia (Storico);Codice Provincia/Uts;Codice Comune (alfanumerico);Codice Comune (numerico);Comune;Comune (dizione straniera);Sigla automobilistica;Capoluogo di Provincia/Uts;Capoluogo di Regione;Popolazione legale;Anno Censimento;Superficie (Kmq);Anno (Superficie);Popolazione residente;Anno (Popolazione residente)
1;1;1;201;1066;1066;Castellamonte;;TO;0;0;9917;2011;38,7063;2019;9842;2019
1;1;1;201;1067;1067;Castelnuovo Nigra;;TO;0;0;417;2011;28,3756;2019;416;2019
1;1;1;201;1068;1068;Castiglione Torinese;;TO;0;0;6363;2011;14,1345;2019;6501;2019
1;1;1;201;1069;1069;Cavagnolo;;TO;0;0;2309;2011;12,3285;2019;2288;2019
1;1;1;201;1070;1070;Cavour;;TO;0;0;5568;2011;48,9591;2019;5480;2019
1;1;1;201;1071;1071;Cercenasco;;TO;0;0;1857;2011;13,1595;2019;1787;2019
1;1;1;201;1072;1072;Ceres;;TO;0;0;1056;2011;28,0516;2019;1036;2019
1;1;1;201;1073;1073;Ceresole Reale;;TO;0;0;159;2011;99,8147;2019;161;2019
1;1;1;201;1074;1074;Cesana Torinese;;TO;0;0;1007;2011;121,7001;2019;951;2019
1;1;1;201;1075;1075;Chialamberto;;TO;0;0;364;2011;35,4478;2019;356;2019
1;1;1;201;1076;1076;Chianocco;;TO;0;0;1700;2011;18,6134;2019;1595;2019
1;1;1;201;1077;1077;Chiaverano;;TO;0;0;2106;2011;12,0221;2019;2055;2019
1;1;1;201;1078;1078;Chieri;;TO;0;0;35962;2011;54,1975;2019;36413;2019
1;1;1;201;1079;1079;Chiesanuova;;TO;0;0;203;2011;4,1189;2019;217;2019
1;1;1;201;1080;1080;Chiomonte;;TO;0;0;932;2011;26,7549;2019;885;2019
1;1;1;201;1081;1081;Chiusa di San Michele;;TO;0;0;1691;2011;5,9165;2019;1598;2019
1;1;1;201;1082;1082;Chivasso;;TO;0;0;25914;2011;51,2378;2019;26730;2019
1;1;1;201;1083;1083;Ciconio;;TO;0;0;371;2011;3,1638;2019;384;2019
1;1;1;201;1084;1084;Cintano;;TO;0;0;261;2011;4,9345;2019;241;2019
1;1;1;201;1085;1085;Cinzano;;TO;0;0;375;2011;6,1962;2019;326;2019
1;1;1;201;1086;1086;Ciriè;;TO;0;0;18415;2011;17,7329;2019;18244;2019
1;1;1;201;1087;1087;Claviere;;TO;0;0;192;2011;2,6872;2019;198;2019
1;1;1;201;1088;1088;Coassolo Torinese;;TO;0;0;1550;2011;27,8788;2019;1488;2019
1;1;1;201;1089;1089;Coazze;;TO;0;0;3084;2011;56,5727;2019;3127;2019
1;1;1;201;1090;1090;Collegno;;TO;0;0;49083;2011;18,0993;2019;49539;2019
1;1;1;201;1091;1091;Colleretto Castelnuovo;;TO;0;0;347;2011;6,3321;2019;299;2019
1;1;1;201;1092;1092;Colleretto Giacosa;;TO;0;0;603;2011;4,5894;2019;585;2019
1;1;1;201;1093;1093;Condove;;TO;0;0;4670;2011;71,1131;2019;4489;2019
1;1;1;201;1094;1094;Corio;;TO;0;0;3330;2011;41,4914;2019;3169;2019
1;1;1;201;1095;1095;Cossano Canavese;;TO;0;0;522;2011;3,2384;2019;464;2019
1;1;1;201;1096;1096;Cuceglio;;TO;0;0;997;2011;6,8709;2019;954;2019
1;1;1;201;1097;1097;Cumiana;;TO;0;0;7825;2011;60,7335;2019;7889;2019
1;1;1;201;1098;1098;Cuorgnè;;TO;0;0;10084;2011;19,3134;2019;9614;2019
1;1;1;201;1099;1099;Druento;;TO;0;0;8436;2011;27,5395;2019;8909;2019
1;1;1;201;1100;1100;Exilles;;TO;0;0;266;2011;46,5474;2019;239;2019
1;1;1;201;1101;1101;Favria;;TO;0;0;5230;2011;14,8499;2019;5154;2019
1;1;1;201;1102;1102;Feletto;;TO;0;0;2269;2011;7,8931;2019;2206;2019
1;1;1;201;1103;1103;Fenestrelle;;TO;0;0;553;2011;49,4091;2019;506;2019
1;1;1;201;1104;1104;Fiano;;TO;0;0;2713;2011;12,0415;2019;2635;2019
1;1;1;201;1105;1105;Fiorano Canavese;;TO;0;0;837;2011;4,3457;2019;763;2019
1;1;1;201;1106;1106;Foglizzo;;TO;0;0;2331;2011;15,6427;2019;2277;2019
1;1;1;201;1107;1107;Forno Canavese;;TO;0;0;3612;2011;16,5003;2019;3307;2019
1;1;1;201;1108;1108;Frassinetto;;TO;0;0;272;2011;24,8185;2019;265;2019
1;1;1;201;1109;1109;Front;;TO;0;0;1726;2011;10,9482;2019;1658;2019
1;1;1;201;1110;1110;Frossasco;;TO;0;0;2840;2011;20,1488;2019;2879;2019
1;1;1;201;1111;1111;Garzigliana;;TO;0;0;557;2011;7,4018;2019;548;2019
1;1;1;201;1112;1112;Gassino Torinese;;TO;0;0;9536;2011;20,5108;2019;9377;2019
1;1;1;201;1113;1113;Germagnano;;TO;0;0;1256;2011;14,4442;2019;1133;2019
1;1;1;201;1114;1114;Giaglione;;TO;0;0;653;2011;33,3833;2019;609;2019
1;1;1;201;1115;1115;Giaveno;;TO;0;0;16281;2011;71,7376;2019;16257;2019
1;1;1;201;1116;1116;Givoletto;;TO;0;0;3640;2011;12,8199;2019;3959;2019
1;1;1;201;1117;1117;Gravere;;TO;0;0;715;2011;18,9870;2019;673;2019
1;1;1;201;1118;1118;Groscavallo;;TO;0;0;191;2011;92,0935;2019;197;2019
1;1;1;201;1119;1119;Grosso;;TO;0;0;1040;2011;4,3296;2019;981;2019
1;1;1;201;1120;1120;Grugliasco;;TO;0;0;37194;2011;13,1321;2019;36928;2019
1;1;1;201;1121;1121;Ingria;;TO;0;0;49;2011;14,7506;2019;45;2019
1;1;1;201;1122;1122;Inverso Pinasca;;TO;0;0;741;2011;8,0292;2019;700;2019
1;1;1;201;1123;1123;Isolabella;;TO;0;0;393;2011;4,7716;2019;380;2019
1;1;1;201;1124;1124;Issiglio;;TO;0;0;425;2011;5,5042;2019;397;2019
1;1;1;201;1125;1125;Ivrea;;TO;0;0;23592;2011;30,1075;2019;23215;2019
1;1;1;201;1126;1126;La Cassa;;TO;0;0;1781;2011;12,0353;2019;1783;2019
1;1;1;201;1127;1127;La Loggia;;TO;0;0;8631;2011;12,7929;2019;8834;2019
1;1;1;201;1128;1128;Lanzo Torinese;;TO;0;0;5150;2011;10,2876;2019;4945;2019
1;1;1;201;1129;1129;Lauriano;;TO;0;0;1493;2011;14,2900;2019;1469;2019
1;1;1;201;1130;1130;Leini;;TO;0;0;15320;2011;31,9191;2019;16398;2019
1;1;1;201;1131;1131;Lemie;;TO;0;0;189;2011;45,6753;2019;174;2019
1;1;1;201;1132;1132;Lessolo;;TO;0;0;1982;2011;7,9366;2019;1792;2019
1;1;1;201;1133;1133;Levone;;TO;0;0;439;2011;5,3912;2019;444;2019
1;1;1;201;1134;1134;Locana;;TO;0;0;1601;2011;132,5173;2019;1434;2019
1;1;1;201;1135;1135;Lombardore;;TO;0;0;1706;2011;12,7158;2019;1719;2019
1;1;1;201;1136;1136;Lombriasco;;TO;0;0;1056;2011;7,2096;2019;1049;2019
1;1;1;201;1137;1137;Loranzè;;TO;0;0;1126;2011;4,1914;2019;1153;2019
1;1;1;201;1139;1139;Luserna San Giovanni;;TO;0;0;7531;2011;17,7414;2019;7262;2019
1;1;1;201;1140;1140;Lusernetta;;TO;0;0;524;2011;7,0398;2019;509;2019
1;1;1;201;1141;1141;Lusigliè;;TO;0;0;556;2011;5,2585;2019;567;2019
1;1;1;201;1142;1142;Macello;;TO;0;0;1238;2011;14,1404;2019;1161;2019
1;1;1;201;1143;1143;Maglione;;TO;0;0;468;2011;6,3129;2019;412;2019
1;1;1;201;1144;1144;Marentino;;TO;0;0;1383;2011;11,2593;2019;1301;2019
1;1;1;201;1145;1145;Massello;;TO;0;0;58;2011;38,2587;2019;53;2019
1;1;1;201;1146;1146;Mathi;;TO;0;0;3985;2011;7,0706;2019;3879;2019
1;1;1;201;1147;1147;Mattie;;TO;0;0;707;2011;28,6942;2019;665;2019
1;1;1;201;1148;1148;Mazzè;;TO;0;0;4152;2011;27,3424;2019;4123;2019
1;1;1;201;1149;1149;Meana di Susa;;TO;0;0;880;2011;16,5439;2019;824;2019
1;1;1;201;1150;1150;Mercenasco;;TO;0;0;1267;2011;12,6383;2019;1253;2019
1;1;1;201;1152;1152;Mezzenile;;TO;0;0;834;2011;29,0871;2019;763;2019
1;1;1;201;1153;1153;Mombello di Torino;;TO;0;0;411;2011;4,0825;2019;381;2019
1;1;1;201;1154;1154;Mompantero;;TO;0;0;651;2011;30,3332;2019;645;2019
1;1;1;201;1155;1155;Monastero di Lanzo;;TO;0;0;381;2011;17,6554;2019;335;2019
1;1;1;201;1156;1156;Moncalieri;;TO;0;0;55875;2011;47,5288;2019;56737;2019
1;1;1;201;1157;1157;Moncenisio;;TO;0;0;42;2011;4,5007;2019;32;2019
1;1;1;201;1158;1158;Montaldo Torinese;;TO;0;0;749;2011;4,6567;2019;711;2019
1;1;1;201;1159;1159;Montalenghe;;TO;0;0;1030;2011;6,4681;2019;992;2019
1;1;1;201;1160;1160;Montalto Dora;;TO;0;0;3450;2011;7,3567;2019;3373;2019
1;1;1;201;1161;1161;Montanaro;;TO;0;0;5375;2011;20,9036;2019;5191;2019
1;1;1;201;1162;1162;Monteu da Po;;TO;0;0;901;2011;7,3896;2019;834;2019
1;1;1;201;1163;1163;Moriondo Torinese;;TO;0;0;820;2011;6,4895;2019;851;2019
1;1;1;201;1164;1164;Nichelino;;TO;0;0;47851;2011;20,5627;2019;46957;2019
1;1;1;201;1165;1165;Noasca;;TO;0;0;169;2011;78,0481;2019;110;2019
1;1;1;201;1166;1166;Nole;;TO;0;0;6910;2011;11,3530;2019;6829;2019
1;1;1;201;1167;1167;Nomaglio;;TO;0;0;312;2011;3,0743;2019;295;2019
1;1;1;201;1168;1168;;;TO;0;0;7998;2011;24,6422;2019;7969;2019
1;1;1;201;1169;1169;Novalesa;;TO;0;0;560;2011;28,5542;2019;528;2019
1;1;1;201;1170;1170;Oglianico;;TO;0;0;1426;2011;6,3030;2019;1455;2019
1;1;1;201;1171;1171;Orbassano;;TO;0;0;22537;2011;22,2078;2019;23284;2019
1;1;1;201;1172;1172;Orio Canavese;;TO;0;0;829;2011;7,1541;2019;764;2019
1;1;1;201;1173;1173;Osasco;;TO;0;0;1124;2011;5,4885;2019;1167;2019
1;1;1;201;1174;1174;Osasio;;TO;0;0;913;2011;4,5771;2019;912;2019
1;1;1;201;1175;1175;Oulx;;TO;0;0;3160;2011;99,7857;2019;3319;2019
1;1;1;201;1176;1176;Ozegna;;TO;0;0;1235;2011;5,4058;2019;1181;2019
1;1;1;201;1177;1177;Palazzo Canavese;;TO;0;0;843;2011;5,0819;2019;851;2019
1;1;1;201;1178;1178;Pancalieri;;TO;0;0;1985;2011;15,8878;2019;2038;2019
1;1;1;201;1179;1179;Parella;;TO;0;0;468;2011;2,6886;2019;417;2019
1;1;1;201;1180;1180;Pavarolo;;TO;0;0;1119;2011;4,4056;2019;1116;2019
1;1;1;201;1181;1181;Pavone Canavese;;TO;0;0;3890;2011;11,5400;2019;3749;2019
1;1;1;201;1183;1183;Pecetto Torinese;;TO;0;0;3877;2011;9,1730;2019;4083;2019
1;1;1;201;1184;1184;Perosa Argentina;;TO;0;0;3405;2011;26,0906;2019;3176;2019
1;1;1;201;1185;1185;Perosa Canavese;;TO;0;0;556;2011;4,7080;2019;526;2019
1;1;1;201;1186;1186;Perrero;;TO;0;0;723;2011;63,1830;2019;626;2019
1;1;1;201;1187;1187;Pertusio;;TO;0;0;773;2011;4,0041;2019;748;2019
1;1;1;201;1188;1188;Pessinetto;;TO;0;0;607;2011;5,3498;2019;616;2019
1;1;1;201;1189;1189;Pianezza;;TO;0;0;14169;2011;16,4634;2019;15448;2019
1;1;1;201;1190;1190;Pinasca;;TO;0;0;3049;2011;34,7183;2019;2894;2019
1;1;1;201;1191;1191;Pinerolo;;TO;0;0;34854;2011;50,3376;2019;35695;2019
1;1;1;201;1192;1192;Pino Torinese;;TO;0;0;8481;2011;21,8196;2019;8413;2019
1;1;1;201;1193;1193;Piobesi Torinese;;TO;0;0;3713;2011;19,6488;2019;3880;2019
1;1;1;201;1194;1194;Piossasco;;TO;0;0;18186;2011;40,1459;2019;18167;2019
1;1;1;201;1195;1195;Piscina;;TO;0;0;3450;2011;9,9034;2019;3364;2019
1;1;1;201;1196;1196;Piverone;;TO;0;0;1378;2011;11,0343;2019;1365;2019
1;1;1;201;1197;1197;Poirino;;TO;0;0;10220;2011;75,6186;2019;10153;2019
1;1;1;201;1198;1198;Pomaretto;;TO;0;0;1068;2011;8,5611;2019;993;2019
1;1;1;201;1199;1199;Pont Canavese;;TO;0;0;3676;2011;19,0609;2019;3210;2019
1;1;1;201;1200;1200;Porte;;TO;0;0;1113;2011;4,4476;2019;1052;2019
1;1;1;201;1201;1201;Pragelato;;TO;0;0;724;2011;89,2017;2019;751;2019
1;1;1;201;1202;1202;Prali;;TO;0;0;272;2011;72,6092;2019;252;2019
1;1;1;201;1203;1203;Pralormo;;TO;0;0;1945;2011;29,8455;2019;1892;2019
1;1;1;201;1204;1204;Pramollo;;TO;0;0;242;2011;22,4785;2019;219;2019
1;1;1;201;1205;1205;Prarostino;;TO;0;0;1289;2011;10,5052;2019;1265;2019
1;1;1;201;1206;1206;Prascorsano;;TO;0;0;781;2011;6,2419;2019;733;2019
1;1;1;201;1207;1207;Pratiglione;;TO;0;0;548;2011;7,8803;2019;480;2019
1;1;1;201;1208;1208;Quagliuzzo;;TO;0;0;331;2011;2,0380;2019;329;2019
1;1;1;201;1209;1209;Quassolo;;TO;0;0;359;2011;3,9559;2019;355;2019
1;1;1;201;1210;1210;Quincinetto;;TO;0;0;1048;2011;17,7879;2019;1034;2019
1;1;1;201;1211;1211;Reano;;TO;0;0;1689;2011;6,6658;2019;1750;2019
1;1;1;201;1212;1212;Ribordone;;TO;0;0;67;2011;43,6002;2019;49;2019
1;1;1;201;1213;1213;Rivalba;;TO;0;0;1159;2011;10,8334;2019;1156;2019
1;1;1;201;1214;1214;Rivalta di Torino;;TO;0;0;19245;2011;25,1076;2019;19978;2019
1;1;1;201;1215;1215;Riva presso Chieri;;TO;0;0;4207;2011;35,8318;2019;4762;2019
1;1;1;201;1216;1216;Rivara;;TO;0;0;2666;2011;12,5838;2019;2519;2019
1;1;1;201;1217;1217;Rivarolo Canavese;;TO;0;0;12356;2011;32,2459;2019;12501;2019
1;1;1;201;1218;1218;Rivarossa;;TO;0;0;1626;2011;10,8733;2019;1571;2019
1;1;1;201;1219;1219;Rivoli;;TO;0;0;48632;2011;29,4998;2019;47597;2019
1;1;1;201;1220;1220;Robassomero;;TO;0;0;2976;2011;8,5756;2019;3056;2019
1;1;1;201;1221;1221;Rocca Canavese;;TO;0;0;1754;2011;14,1912;2019;1700;2019
1;1;1;201;1222;1222;Roletto;;TO;0;0;1989;2011;9,7039;2019;2010;2019
1;1;1;201;1223;1223;Romano Canavese;;TO;0;0;2937;2011;11,2106;2019;2657;2019
1;1;1;201;1224;1224;Ronco Canavese;;TO;0;0;313;2011;96,2686;2019;297;2019
1;1;1;201;1225;1225;Rondissone;;TO;0;0;1834;2011;10,6877;2019;1859;2019
1;1;1;201;1226;1226;Rorà;;TO;0;0;255;2011;12,4075;2019;231;2019
1;1;1;201;1227;1227;Roure;;TO;0;0;888;2011;59,3732;2019;793;2019
1;1;1;201;1228;1228;Rosta;;TO;0;0;4621;2011;9,0650;2019;4925;2019
1;1;1;201;1229;1229;Rubiana;;TO;0;0;2417;2011;26,9371;2019;2368;2019
1;1;1;201;1230;1230;Rueglio;;TO;0;0;773;2011;15,1002;2019;784;2019
1;1;1;201;1231;1231;Salassa;;TO;0;0;1795;2011;4,9519;2019;1843;2019
1;1;1;201;1232;1232;Salbertrand;;TO;0;0;579;2011;38,3198;2019;625;2019
1;1;1;201;1233;1233;Salerano Canavese;;TO;0;0;522;2011;2,1034;2019;468;2019
1;1;1;201;1234;1234;Salza di Pinerolo;;TO;0;0;78;2011;15,8859;2019;75;2019
1;1;1;201;1235;1235;Samone;;TO;0;0;1614;2011;2,4330;2019;1539;2019
1;1;1;201;1236;1236;San Benigno Canavese;;TO;0;0;5615;2011;22,2318;2019;6000;2019
1;1;1;201;1237;1237;San Carlo Canavese;;TO;0;0;3874;2011;20,9068;2019;4009;2019
1;1;1;201;1238;1238;San Colombano Belmonte;;TO;0;0;376;2011;3,3809;2019;339;2019
1;1;1;201;1239;1239;San Didero;;TO;0;0;566;2011;3,3037;2019;528;2019
1;1;1;201;1240;1240;San Francesco al Campo;;TO;0;0;4825;2011;14,9796;2019;4834;2019
1;1;1;201;1241;1241;Sangano;;TO;0;0;3807;2011;6,6513;2019;3746;2019
1;1;1;201;1242;1242;San Germano Chisone;;TO;0;0;1874;2011;15,8616;2019;1750;2019
1;1;1;201;1243;1243;San Gillio;;TO;0;0;3023;2011;8,8866;2019;3101;2019
1;1;1;201;1244;1244;San Giorgio Canavese;;TO;0;0;2705;2011;20,4049;2019;2556;2019
1;1;1;201;1245;1245;San Giorio di Susa;;TO;0;0;1040;2011;19,7366;2019;978;2019
1;1;1;201;1246;1246;San Giusto Canavese;;TO;0;0;3397;2011;9,6132;2019;3299;2019
1;1;1;201;1247;1247;San Martino Canavese;;TO;0;0;851;2011;9,7933;2019;805;2019
1;1;1;201;1248;1248;San Maurizio Canavese;;TO;0;0;9646;2011;17,3442;2019;10279;2019
1;1;1;201;1249;1249;San Mauro Torinese;;TO;0;0;18925;2011;12,5517;2019;18647;2019
1;1;1;201;1250;1250;San Pietro Val Lemina;;TO;0;0;1430;2011;12,4446;2019;1423;2019
1;1;1;201;1251;1251;San Ponso;;TO;0;0;279;2011;2,1243;2019;263;2019
1;1;1;201;1252;1252;San Raffaele Cimena;;TO;0;0;3107;2011;11,1520;2019;3098;2019
1;1;1;201;1253;1253;San Sebastiano da Po;;TO;0;0;1909;2011;16,5766;2019;1893;2019
1;1;1;201;1254;1254;San Secondo di Pinerolo;;TO;0;0;3608;2011;12,5719;2019;3677;2019
1;1;1;201;1255;1255;Sant'Ambrogio di Torino;;TO;0;0;4753;2011;8,3683;2019;4684;2019
1;1;1;201;1256;1256;Sant'Antonino di Susa;;TO;0;0;4333;2011;9,7945;2019;4169;2019
1;1;1;201;1257;1257;Santena;;TO;0;0;10738;2011;16,1983;2019;10637;2019
1;1;1;201;1258;1258;Sauze di Cesana;;TO;0;0;219;2011;78,2772;2019;241;2019
1;1;1;201;1259;1259;Sauze d'Oulx;;TO;0;0;1111;2011;17,3112;2019;1082;2019
1;1;1;201;1260;1260;Scalenghe;;TO;0;0;3303;2011;31,6768;2019;3263;2019
1;1;1;201;1261;1261;Scarmagno;;TO;0;0;812;2011;8,0308;2019;826;2019
1;1;1;201;1262;1262;Sciolze;;TO;0;0;1513;2011;11,3557;2019;1453;2019
1;1;1;201;1263;1263;Sestriere;;TO;0;0;838;2011;25,9158;2019;921;2019
1;1;1;201;1264;1264;Settimo Rottaro;;TO;0;0;503;2011;6,0578;2019;466;2019
1;1;1;201;1265;1265;Settimo Torinese;;TO;0;0;46873;2011;31,4505;2019;47006;2019
1;1;1;201;1266;1266;Settimo Vittone;;TO;0;0;1543;2011;23,2604;2019;1541;2019
1;1;1;201;1267;1267;Sparone;;TO;0;0;1085;2011;29,6785;2019;961;2019
1;1;1;201;1268;1268;Strambinello;;TO;0;0;264;2011;2,2140;2019;269;2019
1;1;1;201;1269;1269;Strambino;;TO;0;0;6336;2011;22,4686;2019;6170;2019
1;1;1;201;1270;1270;Susa;;TO;0;0;6629;2011;10,9879;2019;6174;2019
1;1;1;201;1271;1271;Tavagnasco;;TO;0;0;813;2011;8,6751;2019;771;2019
1;1;1;201;1272;1272;Torino;;TO;1;1;872367;2011;130,0645;2019;857910;2019
1;1;1;201;1273;1273;Torrazza Piemonte;;TO;0;0;2816;2011;9,8238;2019;2971;2019
1;1;1;201;1274;1274;Torre Canavese;;TO;0;0;589;2011;5,4545;2019;603;2019
1;1;1;201;1275;1275;Torre Pellice;;TO;0;0;4573;2011;21,0981;2019;4497;2019
1;1;1;201;1276;1276;Trana;;TO;0;0;3881;2011;16,4059;2019;3809;2019
1;1;1;201;1278;1278;Traversella;;TO;0;0;350;2011;39,3597;2019;323;2019
1;1;1;201;1279;1279;Traves;;TO;0;0;553;2011;10,4544;2019;528;2019
1;1;1;201;1280;1280;Trofarello;;TO;0;0;10911;2011;12,3475;2019;10823;2019
1;1;1;201;1281;1281;Usseaux;;TO;0;0;185;2011;37,9669;2019;189;2019
1;1;1;201;1282;1282;Usseglio;;TO;0;0;219;2011;98,5375;2019;200;2019
1;1;1;201;1283;1283;Vaie;;TO;0;0;1455;2011;7,2292;2019;1414;2019
1;1;1;201;1284;1284;Val della Torre;;TO;0;0;3812;2011;36,5253;2019;3964;2019
1;1;1;201;1285;1285;Valgioie;;TO;0;0;948;2011;9,1200;2019;915;2019
1;1;1;201;1286;1286;Vallo Torinese;;TO;0;0;785;2011;6,0792;2019;795;2019
1;1;1;201;1287;1287;Valperga;;TO;0;0;3163;2011;11,9094;2019;3025;2019
1;1;1;201;1288;1288;Valprato Soana;;TO;0;0;112;2011;71,8527;2019;95;2019
